Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,3,5,6,9,11,13,14,15,16,17,18,19,20,21,22,23,25,26,28,29,30,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,5,7,8,9,10,11,12,13,15,16,18,19,20,21,22,23,24,26,27,28,29,,,,,,,
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22,23,24,26,29,30,,,,,,
2,5,7,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,,,,,,,,
2,3,4,5,6,7,9,10,12,15,16,17,19,20,22,24,25,26,27,29,30,,,,,,,,,
3,6,7,10,11,14,16,18,19,20,21,24,26,27,29,30,,,,,,,,,,,,,,
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,28,29,30,,,,,
3,4,6,7,9,12,13,14,15,16,17,18,19,20,21,22,23,26,28,29,,,,,,,,,,
3,5,7,8,9,10,11,12,13,14,15,16,17,18,19,22,23,25,26,27,28,,,,,,,,,
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,
4,5,6,9,10,11,13,14,15,17,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
4,5,6,7,8,9,10,11,12,13,14,15,16,19,21,22,23,24,25,27,29,,,,,,,,,
4,5,7,8,9,11,12,13,14,15,16,17,18,21,22,23,24,26,27,28,29,30,,,,,,,,
4,5,7,10,13,15,17,19,20,21,23,24,26,27,28,29,30,,,,,,,,,,,,,
5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,
5,8,9,10,11,12,13,14,15,17,20,22,25,26,28,29,30,,,,,,,,,,,,,
5,7,9,10,11,12,13,15,16,17,19,20,21,22,24,25,28,30,,,,,,,,,,,,
5,6,7,10,11,12,13,14,15,16,17,18,19,21,23,24,25,26,27,28,29,,,,,,,,,
6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,27,28,29,30,,,,,,,
6,7,8,9,10,13,14,15,16,18,20,21,22,23,24,26,27,28,30,,,,,,,,,,,
6,7,8,9,11,14,15,16,17,19,21,24,25,26,27,28,30,,,,,,,,,,,,,
7,8,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
7,8,9,10,11,12,13,14,15,18,20,21,22,23,24,25,26,27,29,,,,,,,,,,,
7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,,,,,,,,,
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,30,,,,,,,,,
8,9,10,11,12,15,17,19,20,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,
8,11,12,14,15,16,17,18,21,22,23,25,28,29,30,,,,,,,,,,,,,,,
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,28,29,30,,,,,,,,,
8,9,12,13,15,16,17,18,19,22,25,26,27,28,,,,,,,,,,,,,,,,
8,9,11,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,
8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
8,9,10,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,,,,,,,,
9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,26,27,29,,,,,,,,,,,,
9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,28,30,,,,,,,,,,,,
10,11,14,15,16,19,20,21,22,23,26,28,,,,,,,,,,,,,,,,,,
10,13,14,15,16,17,19,20,21,23,24,26,28,29,30,,,,,,,,,,,,,,,
10,12,15,16,18,19,21,22,23,25,26,27,28,29,,,,,,,,,,,,,,,,
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,
12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,,,,,,,,,,,,
12,13,14,15,17,18,19,21,22,24,25,27,28,29,30,,,,,,,,,,,,,,,
13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,
13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,,,,,,,
13,15,18,19,20,21,22,23,24,25,26,27,30,,,,,,,,,,,,,,,,,
14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,,,,,,,,,,,,,,,
14,15,17,18,20,21,23,24,26,27,28,29,30,,,,,,,,,,,,,,,,,
15,16,17,18,19,20,21,23,25,27,28,29,,,,,,,,,,,,,,,,,,
15,16,17,18,19,22,24,26,27,28,29,30,,,,,,,,,,,,,,,,,,
17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,
17,18,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,
18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,
18,19,20,21,22,23,24,25,26,27,29,30,,,,,,,,,,,,,,,,,,
19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,
19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,
19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,
